Soins intensifs - Salle d’attente 30,A,334
Anesthésiologie,A,152
Bloc opératoire des polycliniques ,rez,34
Cardiologie - Accueil,C,134
Cardiologie - Salle d'attente,C,135
Cardiologie - Salle d'attente,C,132
Cardiologie - Salle d'attente,C,137
Cardiologie - Salle d’attente,C,138
Cardiologie - Salle d'attente,C,139
Chirurgie (main et orthopédique),rez,53
Chirurgie esthétique et plastique,rez,31
Chirurgie mains nerfs périphériques -Salle d'attente,rez,55
Chirurgie maxillo-faciale - Salle d'at­tente,rez,55
Chirurgie orthopédique - Salle d'at­tente,rez,52
"Chirurgie vasculaire, digestive, car­diothoracique et pansements",rez,61
Consultations psychologues Urgences et ETAC,rez,62
Coronarographie,C,140
CPMA ,B,474
CPMA - Salle d'attente,B,473
CRMN ,A,169
Dentisterie Stomatologie ,rez,82
Dermatologie,rez,29
Dermatologie - Salle d'attente,rez,32
Dermatologie - Soins infirmiers,rez ,33
Diabétologie ,rez,18
Dons de sang et de plasma,rez,42
Dons de sperme,B,472
EMISCA - Soins continus - Clinique du deuil,A,769
Endocrinologie ,rez,18
Gastro-entérologie,A,158
Gynécologie (accueil),B,459
Gynécologie - salle d’attente,B,462
Hématologie ,rez,15
Hémodialyse,D,112
Hôpital de jour gériatrique ,rez,78
Hôpital de jour gériatrique - Salle d'attente,rez,79
Hôpital de jour pédiatrique,B,590
Hôpital du jour oncologie-pneumo­logie,A,318
Lactarium - Dons de lait,A,538
Médecine physique - Logopédie,B,282
Médecine physique - Prises de RDV,rez,84
Médecine physique - Salle d'attente urgences,rez,85
"Médecine physique (école du dos, orthèses, ...)",B,285
Médecine physique et rhumatologie -Salle d'attente,rez,88
MS Center,A,222
Néphrologie - Infectiologie,C,114
Neurochirurgie,rez,50
Neurologie ,rez,50
Onco-Gynécologie,B,471
Oncologie,rez,15
ONE,B,460
One day diabète,A,168
Ophtalmologie ,rez,22
Ophtalmologie - Salle d'attente,rez,21
Ophtalmologie - Salle d'attente,rez,23
Ophtalmologie - Salle d'attente,rez,25
Ophtalmologie - Salle d’attente,rez,18
Ophtalmologie - Salle d'attente,rez,19
Ophtalmologie - Salle d'attente,rez,20
Ophtalmologie Pédiatrique - Salle d'at­tente,rez,24
ORL - Salle d’attente,rez,99
Pédiatrie - polyclinique,rez,75
Pédiatrie - Gastro entérologie Hôpital de Jour,A,156
Pédopsychiatrie - cons. A,B,390
Pédopsychiatrie - cons. B,A,501
Pédosychiatrie - cons. C,A,165
Pédopsychiatrie - éq. mob. REALiSM,A,215
Pneumologie adultes,C,105
Pneumologie pédiatrique,A,166
Podologie ,rez,16
Psychiatrie Hôpital de jour et consultation,A,237
Radio pédiatrie - Salle d'attente,C,121
Radiologie Urgences - Salle d'attente,rez,60
Radiothérapie - Accueil,C,865
Radiothérapie - Salle d’attente,C,866
Revalidation cardiaque ,B,734
Salle des plâtres,rez,57
Urgences - Accueil,rez,65
Urgences ,rez,63
Urgences adultes - Accueil ,rez,66
Bureaux de consultations - Salle d'attente,rez,77
Urgences Psychologues - Salle d'attente,rez,64
Urgences adultes - Salle d'attente ,rez,67
Urgences pédiatriques - Accueil,rez,69
Urgences pédiatriques - Salle d'attente,rez,68
Urologie ,rez,39
Bloc d’accouchement,A,443
Bloc opératoire - Entrée vestiaires ,A,163
Polysomnographie adulte,A,320
Polysomnographie enfant,A,513
Unité de Soins 12,B,181
Unité de Soins 14,B,185
Unité de Soins 21,A,240
Unité de Soins 22,B,290
Unité de Soins 23,A,247
Unité de Soins 24,B,297
Unité de Soins 25,A,220
Unité de Soins 26,B,273
Unité de Soins 27,A,215
Unité de Soins 28,B,265
Unité de Soins 29,A,210
Unité de Soins 31,A,340
Unité de Soins 33,A,347
Unité de Soins 34,B,397
